,master_metadata_track_name,counts,isInPlaylist
0,War,43.0,1.0
1,Pomegranate,30.0,1.0
2,Controlla,18.0,1.0
3,Neighbors,17.0,1.0
4,Blueberry Faygo,16.0,1.0
5,Wet Dreamz,16.0,1.0
6,In Your Eyes,15.0,1.0
7,Crystal Duration,15.0,1.0
8,Feel No Ways,15.0,1.0
9,Blinding Lights,15.0,1.0
10,In The Night,15.0,1.0
11,Wham Bam Shang-A-Lang,14.0,0.0
12,Talking In Your Sleep,14.0,1.0
13,Bringin' On The Heartbreak,14.0,1.0
14,Applause,14.0,1.0
15,Lunatic Fringe,14.0,1.0
16,Pray For Me (with Kendrick Lamar),14.0,1.0
17,Dark Horse,14.0,1.0
18,Foreign Exchange,14.0,1.0
19,Apologize,14.0,1.0
20,All The Stars (with SZA),14.0,1.0
21,CITY OF ANGELS,14.0,1.0
22,No Limit,14.0,1.0
23,Headphone Lullaby,13.0,1.0
24,All Girls Are The Same,13.0,1.0
25,Circles,13.0,1.0
26,Animals,13.0,1.0
27,Summertime Daydream,13.0,1.0
28,Smooth (feat. Rob Thomas),13.0,1.0
29,Like A G6,13.0,1.0
30,False Prophets,13.0,1.0
31,Staying There,13.0,1.0
32,Whitecap,13.0,1.0
33,K.O.,13.0,1.0
34,God's Plan,13.0,1.0
35,On Your Way Down,12.0,1.0
36,goosebumps,12.0,1.0
37,ROXANNE,12.0,1.0
38,Adventure Of A Lifetime,12.0,1.0
39,Teen Pregnancy,12.0,1.0
40,Passionfruit,12.0,1.0
41,Owner of a Lonely Heart,12.0,1.0
42,Cooler Than Me - Single Mix,12.0,1.0
43,Crossing Paths,12.0,1.0
44,Sit Next to Me,12.0,1.0
45,SICKO MODE,12.0,1.0
46,"When The World Is Running Down, You Make The Best Of What's Still Around",12.0,0.0
47,Timber (feat. Ke$ha),12.0,1.0
48,Let's Get It Started - Spike Mix,12.0,1.0
49,Raindrops,12.0,1.0
50,Baby Pluto,12.0,1.0
51,Ongoing Thing,12.0,1.0
52,Pound Cake / Paris Morton Music 2,12.0,1.0
53,PAID MY DUES,11.0,1.0
54,Come and Get Your Love - Single Version,11.0,1.0
55,You Should Have Known,11.0,1.0
56,What Lovers Do (feat. SZA),11.0,1.0
57,The Sign,11.0,1.0
58,Move Your Feet,11.0,1.0
59,City Scapes,11.0,1.0
60,Oh Devil,11.0,1.0
61,Problem,11.0,1.0
62,The Power Of Love,11.0,1.0
